date,day of week,exercise type,weight,reps,RPE,e1rm,total sleep minutes,deep sleep minutes,REM sleep minutes,avg RHR (bpm),avg HRV (ms),velocity set,velocity start time,set mean velocity m/s,fastest rep,fastest mean velocity m/s,slowest rep,slowest mean velocity m/s,last rep mean velocity m/s,velocity loss %,set mean force N,set mean force/bodyweight N/kg,set peak force N,set peak force/bodyweight N/kg
2026-07-20,Monday,Comp Deadlift,270,2,6,323.5,326,43,75,55,52,13,11:29:16,0.57,1,0.64,2,0.5,0.5,21.88,1206.2,13.71,1607.3,18.26
2026-07-20,Monday,Comp Deadlift,270,2,6,323.5,326,43,75,55,52,12,11:25:30,0.595,2,0.65,1,0.54,0.65,0,1206.2,13.71,1616.8,18.37
2026-07-20,Monday,Comp Bench,170,5,9,203.7,326,43,75,55,52,9,11:13:27,0.244,1,0.29,5,0.19,0.19,34.48,755.1,8.58,924.4,10.5
2026-07-20,Monday,Comp Bench,170,5,7.5,212.1,326,43,75,55,52,8,11:09:54,0.29,2,0.31,5,0.27,0.27,12.9,755.1,8.58,942.2,10.71
2026-07-20,Monday,Comp Bench,170,5,7.5,212.1,326,43,75,55,52,7,11:06:26,0.3,3,0.33,5,0.25,0.25,24.24,755.1,8.58,941,10.69
2026-07-20,Monday,Comp Bench,165,5,6,214,326,43,75,55,52,6,11:02:03,0.282,5,0.3,4,0.24,0.3,0,735.5,8.36,916.6,10.42
2026-07-20,Monday,Comp Bench,190,5,9.5,224.5,326,43,75,55,52,5,10:57:56,0.236,1,0.29,5,0.16,0.16,44.83,843.4,9.58,1006,11.43
2026-07-19,Sunday,Comp Deadlift,345,4,6,436.1,643,71,153,49,74,7,17:04:48,0.31,1,0.32,3,0.29,0.29,9.38,1539.6,17.5,1793,20.38
2026-07-19,Sunday,Comp Deadlift,430,3,10,472.6,643,71,153,49,74,6,16:54:13,0.15,2,0.16,1,0.14,0.15,12.5,1912.3,21.73,2115.9,24.04
2026-07-17,Friday,Pause Below the Knee Sumo Deadlift,295,3,7,353.4,444,31,111,54.4,63.4,12,15:05:17,0.313,2,0.34,3,0.28,0.28,17.65,1314.1,14.93,1571.6,17.86
2026-07-17,Friday,Pause Below the Knee Sumo Deadlift,295,3,7,353.4,444,31,111,54.4,63.4,11,15:01:32,0.24,1,0.28,3,0.21,0.21,25,1314.1,14.93,1518,17.25
2026-07-17,Friday,High Bar Squat,235,5,7,297,444,31,111,54.4,63.4,6,14:43:15,0.51,1,0.56,4,0.47,0.48,16.07,1049.3,11.92,1343.8,15.27
2026-07-16,Thursday,Spoto Press,154.3,5,,,601,23,120,53,62,8,16:57:47,0.376,1,0.41,4,0.35,0.35,14.63,686.5,7.8,897.5,10.2
2026-07-16,Thursday,Spoto Press,154.3,5,,,601,23,120,53,62,7,16:54:19,0.358,1,0.38,5,0.34,0.34,10.53,686.5,7.8,875.9,9.95
2026-07-16,Thursday,Spoto Press,155,5,6,201,601,23,120,53,62,6,16:50:53,0.356,1,0.37,2,0.35,0.35,5.41,686.5,7.8,868.4,9.87
2026-07-16,Thursday,Spoto Press,155,5,7,195.9,601,23,120,53,62,5,16:47:17,0.382,1,0.41,5,0.34,0.34,17.07,686.5,7.8,882.4,10.03
2026-07-16,Thursday,Spoto Press,160,5,6.5,204.9,601,23,120,53,62,,,,,,,,,,,,,
2026-07-16,Thursday,Spoto Press,160,5,6.5,204.9,601,23,120,53,62,,,,,,,,,,,,,
2026-07-15,Wednesday,Incline Bench,125,5,7,158,448,42,76,58,37,12,17:03:15,0.482,1,0.54,5,0.38,0.38,29.63,559,6.35,801,9.1
2026-07-15,Wednesday,Comp Squat,275,5,6,356.7,448,42,76,58,37,8,16:51:11,0.424,2,0.45,3,0.41,0.41,8.89,1225.8,13.93,1487.2,16.9
2026-07-15,Wednesday,Comp Squat,325,5,8,400.1,448,42,76,58,37,7,16:42:02,0.342,1,0.37,5,0.3,0.3,18.92,1451.4,16.49,1694.8,19.26
2026-07-14,Tuesday,Comp Deadlift,270,3,7,323.5,375,75,57,51.8,55.8,15,12:41:22,0.477,3,0.5,2,0.46,0.5,0,1206.2,13.71,1700,19.32
2026-07-14,Tuesday,Comp Deadlift,270,3,7,323.5,375,75,57,51.8,55.8,14,12:37:57,0.54,2,0.6,3,0.47,0.47,21.67,1206.2,13.71,1628.1,18.5
